RandomSeed	CP1	CP2	CP3	CP4
1897190904	1990	3100	3640	4290
3884519187	1030	1550	2100	4060
1294782192	1550	2980	4250	4790
1369100682	1170	2780	3470	3820
2244769669	1060	1370	1490	1610
591011147	3810	4210	4540	4910
1471660943	4150	4400	4510	4600
359710149	1440	1860	2320	3530
716628342	580	1030	1400	1830
880305437	1950	3280	3720	4190
4285437153	1120	1490	1840	3880
1757883062	3260	4440	4750	4960
1404924866	1330	1580	1810	4150
1372769070	1430	2710	4740	5110
1670982020	680	1140	2260	3700
608201978	720	1200	3040	4210
2313804739	1520	2910	3400	3880
149328160	760	1290	3020	4060
3225721126	980	3350	3720	4210
919026493	3690	4200	4550	4950
4195596700	450	950	2440	4500
1194671422	1290	1680	1950	3640
1018174243	500	1180	1710	2420
2043594377	2170	3060	3540	4050
1461777237	1560	3020	3610	4050
4041964870	3600	3770	3920	4340
4052245204	540	1240	2050	2700
2170695351	3810	4140	4570	4990
3053100806	2010	3120	4380	4880
1258481033	430	920	1380	1880
3948835825	1240	1580	1880	3380
4252928086	1570	3170	3750	4360
3738847159	1300	2040	2590	3920
30638510	1000	1510	1940	3650
155378752	1340	3430	3820	4230
1218649793	1180	1950	2560	4060
3496261093	1200	1660	2290	3530
358771072	700	1360	3170	4100
2885760251	1270	1950	2500	3690
501593582	1510	2650	4130	4670
1269627287	1500	2040	2620	4070
1587229042	1780	3330	3690	4110
1358977826	560	1100	2320	3650
3682147495	1130	3080	4300	4850
4285519779	1880	3260	3910	4390
1468967389	1380	3080	3660	4340
1769110348	1170	1750	2310	3670
246736048	510	920	1420	1850
1345672938	970	1310	1480	1680
3998356295	3000	3540	4340	4860
4138797388	1470	1760	2040	3600
3356959293	750	1300	3410	4290
1895650801	1250	1670	2110	3050
2277510916	1770	2790	3350	3830
522145788	2580	3180	3720	4020
3329559319	680	1360	2560	4670
1012155621	1340	2040	2660	3700
761276758	4070	4330	4550	5040
3132086334	1290	1840	2280	4050
1223841475	1320	1940	2540	4000
1909396698	970	1460	1890	3510
3031960710	2090	3120	3540	4140
1924545912	1270	1770	2340	3620
2598309254	1210	1780	2360	3240
3794891803	540	1120	2990	4300
1118313224	1500	2880	3450	4040
1598400073	810	1180	1500	3690
1835183682	1640	3000	3450	3840
3772252098	1330	1810	2360	3280
430914655	1490	1990	2470	3170
2526561370	1700	2940	3570	4180
3619818975	3240	3770	4420	4840
3843160463	3100	3620	4250	4740
1319207120	340	480	630	1740
3503043377	1010	1280	1590	4340
1275243206	1400	2260	2810	3820
222606313	1290	2900	3200	3580
305261306	1730	2890	4030	4600
1137641615	700	1060	2890	4130
1007175895	720	1240	3250	4430
2978516248	1510	2350	4140	4770
1484452872	1260	3440	4470	4860
3676674599	520	1000	2360	3910
3350201960	400	820	2020	3460
603815092	1170	1610	1850	2040
1418350088	3330	4470	5010	5180
2916802126	1620	3260	3690	4110
3054332759	1520	3440	3770	4270
2956176161	1370	3100	3660	4100
2538079081	570	2000	3130	4300
3345413014	350	920	3050	4280
2309092274	1220	1690	2290	3530
1247928634	530	1280	1940	2490
1110316280	1910	2780	3430	4100
1100872837	1260	1840	2550	3590
1137705737	1510	2020	2540	3870
1681139452	1240	1790	2270	3100
2735309224	790	4100	4900	5160
3249415453	1180	2840	3610	4190
4009111986	930	2810	3410	3740
3741390450	1080	1460	1960	3760
328896506	1250	2400	4030	4660
3157765913	1850	2320	2820	4020
3476279599	1820	2520	4380	4960
