RandomSeed	CP1	CP2	CP3	CP4
2219285411	240	490	1000	3660
3789912611	470	1030	2570	4540
3899523377	580	1750	4140	4910
3757716468	770	1570	3310	4530
2015751562	1150	4650	4830	5020
4270690140	1520	3810	4670	5070
2581363565	690	1120	2890	4280
314141515	780	960	1100	3030
1131189261	660	1160	3470	4510
999938796	600	1130	1650	3170
4082056113	3110	4860	5150	5290
793634665	430	810	4150	4760
924713390	2810	4250	4980	5160
2804943129	520	1240	2000	3420
3401103502	790	1670	4130	4450
3701844453	190	270	360	2040
1050472014	1040	4300	4930	5150
284597940	740	1140	1520	3840
1316979850	410	630	830	4130
4118541579	1270	1550	2470	3040
4009754830	1750	3080	4450	4910
3779000523	310	650	1810	2970
2683833668	810	1750	4100	4600
248325888	570	1670	3460	4790
656483978	400	2690	3640	4400
1669376957	680	1570	3650	4570
1183438788	1910	3850	4640	5020
2832229792	2440	3700	4280	4820
1194991662	1390	1780	2880	3470
1917387321	1320	2960	4540	4970
2188717342	310	590	2010	3450
626219905	310	630	2070	3640
3813644355	1070	4020	4710	5050
2743467782	770	1280	3630	4590
2832467231	520	1280	2090	3230
2044752438	450	1700	2510	4220
1722388874	990	3040	4810	5100
3487987995	330	670	2590	4220
3870930578	800	1410	3640	4360
431802487	300	580	2380	3810
214350298	820	970	1130	3330
3011384469	3150	4060	4560	4970
55237123	160	330	870	2890
2797703552	370	1120	4440	4880
1531223333	650	980	3370	4950
1406985870	670	1030	1360	3710
2297028809	550	920	3760	4510
849250049	1370	3060	4540	4970
1920611637	850	1200	4050	4600
1660049108	430	1410	2900	4350
928167111	2420	3910	4300	4920
1066183376	830	1570	3770	5060
2986838381	570	2040	3790	4730
3735979029	450	970	1500	2690
4168350226	680	1360	2300	3900
3264473916	250	410	1130	3400
3179163677	2830	3970	4460	4930
1003232210	2290	4250	4850	5130
517551843	400	1220	1900	2290
451729997	990	1960	4250	4630
4035067075	610	1270	2800	4140
3115825727	1800	4500	4700	4910
223166015	740	1230	2530	3200
2154562403	1710	4040	4470	4980
3507086058	2340	2970	3810	4060
915439050	2000	4600	4820	5020
2673943255	760	1180	3650	4520
2343443832	590	2020	3740	4560
2544952694	410	910	2700	4780
2842793596	540	760	980	3230
3325982164	700	1250	3410	4090
3390494088	2220	3550	4190	4770
2371322714	2400	3890	4290	4890
856806591	950	1990	4260	4800
1255622093	2110	4330	4600	4950
4110462571	1980	4500	4740	4980
2629013021	1240	2960	4580	4970
3462089791	3400	4560	4990	5220
4051655409	330	920	4200	4740
2200151146	810	1760	4300	4880
1012373426	770	2260	4380	4720
3706613117	570	1150	4740	5020
1643818261	240	460	1680	3020
861707861	660	760	860	2660
849201940	2490	4700	5060	5220
2893623154	2360	3580	4530	4910
1720782719	480	1440	4670	4940
1012834744	2570	3890	4840	5080
2736447030	550	1190	4050	4720
4166183822	570	930	1150	3480
865394489	1410	1930	3030	3620
1419713535	3300	4810	5120	5240
62416606	2210	4370	4950	5180
3980223678	810	1270	3580	4230
3938654915	830	3510	4690	5040
854025192	980	4480	4700	4930
3431397950	380	780	1760	2310
396027844	560	1000	2890	4280
4222767335	570	1100	2800	4070
3944403013	2590	4710	5070	5250
473420687	1360	3550	3990	4670
2969034398	390	780	1820	3360
3107004459	690	1340	3620	4540
2754657949	500	1150	1880	3740
348767606	1820	3270	4950	5170
3973085126	860	2270	2690	3620
1252152986	1190	3180	4860	5190
3213201197	2000	3650	4890	5150
1281793784	260	530	1390	3250
1454476356	600	2050	4030	4570
362973431	1650	3930	4640	5090
297700080	150	300	850	3240
2969676214	1320	2740	4250	5080
2014716468	1310	4380	4910	5130
1473486872	230	470	940	3930
2443643671	2310	4410	4580	4740
2721179538	600	1370	2230	3790
3421064466	270	540	2120	3690
3797236309	2040	2990	4320	4770
1792910868	150	320	700	3410
1700838900	860	2110	4340	4890
2569549502	730	1230	3910	4800
1699641802	290	700	1890	2680
3307272501	770	3310	4710	5160
3191815364	960	2160	4830	5130
112017824	320	630	2270	3350
339958565	2880	4020	4510	5040
755248737	400	680	4150	4930
186991681	860	1540	4180	4790
3841076790	1270	2200	4340	4850
3090358892	2110	3950	4280	5010
4275954844	650	1790	3380	4720
2206173248	930	2410	4370	4960
27495117	630	1060	4100	4740
1308257908	1650	2960	4310	4840
887986039	590	1490	3460	4770
1132203105	1150	3710	5080	5220
333623569	1070	2310	3000	3440
4078941729	1050	2030	4430	4810
792455105	940	1590	4220	4780
3481334283	320	560	1450	3880
1390338003	780	1250	3730	4290
355608520	830	1710	4210	4730
1218117328	2300	3710	4250	4790
2362398622	530	1180	3340	4830
1751751858	1980	3260	4400	5010
970891210	1050	2500	4530	4880
1628722307	550	1130	3630	4760
2885908194	590	2320	4060	4810
2353609478	2730	4220	4480	5030
1671368155	2210	3180	3640	4690
3421886719	1030	1570	3660	4480
3632661360	870	1570	4290	4810
1755550616	1070	3660	4540	5090
2370429348	1130	1770	2190	4150
614511136	1070	1880	3090	4480
2254860646	290	590	1970	3410
4096276198	460	840	2120	4300
1222384277	730	1460	3860	4590
32522018	780	1540	4460	4910
3191333443	1100	1330	1560	2590
2011390457	980	1970	3970	5080
3724886500	780	1220	1690	3440
3469350056	3240	4680	4850	5020
2946794281	2920	3870	4680	5010
852331634	3240	3700	4330	4500
3713763659	660	2520	3380	4120
2986887122	1150	2660	4830	5170
3619278189	370	510	1780	3940
1481181985	1090	2140	3550	5010
1366247797	360	730	2640	4370
3913699920	2980	4670	4820	4950
150062050	200	410	1050	3960
3541795824	790	1520	3030	3480
2850147219	880	2040	4440	4890
1228774333	850	1660	4350	5010
4247318201	410	850	4700	5060
2584902581	570	800	980	3300
4080520380	2320	2590	3280	3790
358622666	480	710	920	3100
2770975659	1770	3310	4100	4860
779575127	1180	2340	3630	4350
2470010475	960	2620	4280	4780
2790167161	360	580	770	2920
214921417	500	710	890	3570
2134929678	1600	4570	5040	5260
2148655574	940	1740	4220	4850
2771676634	2000	3190	4640	5060
476854143	2490	3050	3840	4210
2910950981	1230	1860	3710	4680
2200081642	1290	1730	2480	2750
2084964856	330	610	3050	4480
1897190904	680	1360	4220	4630
685954273	1020	2370	2720	3820
3884519187	1020	2860	4380	5100
1294782192	500	930	1890	4250
2244769669	1410	2640	3320	4030
1369100682	1630	3610	4710	5020
1471660943	990	2040	4460	4770
591011147	760	1760	4440	4890
359710149	1820	2400	3940	4520
716628342	820	1260	3460	4270
4285437153	1370	2880	3460	4290
1372769070	4980	5100	5170	5290
880305437	720	1040	1370	3830
1757883062	1690	4730	4840	5000
1404924866	650	1500	2520	3000
1670982020	1170	3760	4630	5010
608201978	230	900	2200	3570
149328160	290	910	1990	3920
2313804739	540	1420	3260	4750
919026493	1050	1990	4480	4910
3225721126	1200	1760	2230	3600
4195596700	2360	2580	3240	3780
2043594377	280	560	1180	3300
1194671422	640	1760	3070	4570
1018174243	520	1590	4220	4810
4041964870	980	1350	1730	3870
1461777237	740	2100	3770	4870
1258481033	260	490	1120	3580
4052245204	280	420	550	4130
2170695351	910	1590	4170	4830
3053100806	590	1110	4050	4780
4252928086	690	2000	3990	4740
3948835825	1500	1650	2320	2750
30638510	750	1310	3650	4540
3738847159	810	2250	3060	4110
155378752	2200	2710	3610	3970
3496261093	1650	4180	4810	5070
1218649793	970	1550	2280	3800
2885760251	2430	4530	4750	4960
501593582	710	1730	2920	4300
358771072	2320	3860	4810	5130
1269627287	310	1020	1940	2250
1587229042	330	620	1290	3790
1358977826	580	1180	3850	4670
3682147495	1580	3190	3780	4470
4285519779	1490	4350	4520	4770
1345672938	810	1260	3600	4500
1769110348	1210	3980	4220	4590
1468967389	540	1970	3500	4370
246736048	700	1320	3640	4520
4138797388	740	1810	4280	4840
1895650801	1530	3980	4310	4650
3356959293	1180	2150	2670	4140
522145788	880	1200	1530	3880
3998356295	430	1450	3240	4700
2277510916	440	1150	3010	4230
3329559319	2370	2830	3510	3960
1012155621	2670	3940	4380	4930
3132086334	360	1830	3290	4610
761276758	1050	1900	4390	5010
3031960710	560	1090	1770	3240
1223841475	530	2320	3860	4800
1909396698	640	1260	3910	4660
1924545912	1800	4390	4620	4850
2598309254	1120	1760	4320	4850
3794891803	400	670	2280	4380
1118313224	3050	4840	4990	5140
1598400073	660	1150	2480	3310
1835183682	660	1130	3460	4640
3772252098	1480	2180	4290	4840
3619818975	750	1330	3670	4620
430914655	2370	3750	4330	4850
2526561370	630	1220	3960	4360
