Pile ID	Distribution Type	X-Position	Y-Position	Pickup Time	Drop Off Time	Ant ID
1	1	-6.91503	5.31034	-1	-1	-1
1	1	-6.76503	5.31034	-1	-1	-1
1	1	-6.61503	5.31034	1288	1352.72	-1
1	1	-6.46503	5.31034	1412	1476.78	-1
1	1	-6.31503	5.31034	3766	3829.56	-1
1	1	-6.16503	5.31034	3333	3404.12	-1
1	1	-6.01503	5.31034	3152	3220.19	-1
1	1	-5.86503	5.31034	2839	2973.22	-1
1	1	-5.71503	5.31034	3029	3091.91	-1
1	1	-5.56503	5.31034	4696	4758.88	-1
1	1	-5.41503	5.31034	-1	-1	-1
1	1	-5.26503	5.31034	-1	-1	-1
1	1	-5.11503	5.31034	-1	-1	-1
1	1	-4.96503	5.31034	-1	-1	-1
1	1	-4.81503	5.31034	-1	-1	-1
1	1	-4.66503	5.31034	470	601.719	-1
1	1	-6.91503	5.46034	-1	-1	-1
1	1	-6.76503	5.46034	-1	-1	-1
1	1	-6.61503	5.46034	-1	-1	-1
1	1	-6.46503	5.46034	4326	4396.47	-1
1	1	-6.31503	5.46034	4045	4113.97	-1
1	1	-6.16503	5.46034	3460	3530.84	-1
1	1	-6.01503	5.46034	3322	3419.19	-1
1	1	-5.86503	5.46034	3300	3361.66	-1
1	1	-5.71503	5.46034	3345	3408.31	-1
1	1	-5.56503	5.46034	4563	4619.56	-1
1	1	-5.41503	5.46034	-1	-1	-1
1	1	-5.26503	5.46034	-1	-1	-1
1	1	-5.11503	5.46034	-1	-1	-1
1	1	-4.96503	5.46034	-1	-1	-1
1	1	-4.81503	5.46034	-1	-1	-1
1	1	-4.66503	5.46034	2641	2777.38	-1
1	1	-6.91503	5.61034	-1	-1	-1
1	1	-6.76503	5.61034	-1	-1	-1
1	1	-6.61503	5.61034	-1	-1	-1
1	1	-6.46503	5.61034	4872	4947.28	-1
1	1	-6.31503	5.61034	4172	4236.31	-1
1	1	-6.16503	5.61034	3752	3837.56	-1
1	1	-6.01503	5.61034	3603	3666.44	-1
1	1	-5.86503	5.61034	-1	-1	-1
1	1	-5.71503	5.61034	3452	3525.22	-1
1	1	-5.56503	5.61034	4842	4905.53	-1
1	1	-5.41503	5.61034	-1	-1	-1
1	1	-5.26503	5.61034	-1	-1	-1
1	1	-5.11503	5.61034	-1	-1	-1
1	1	-4.96503	5.61034	-1	-1	-1
1	1	-4.81503	5.61034	-1	-1	-1
1	1	-4.66503	5.61034	-1	-1	-1
1	1	-6.91503	5.76034	-1	-1	-1
1	1	-6.76503	5.76034	5244	5324.78	-1
1	1	-6.61503	5.76034	4953	5038.22	-1
1	1	-6.46503	5.76034	4722	4794.69	-1
1	1	-6.31503	5.76034	4310	4390.47	-1
1	1	-6.16503	5.76034	3892	3963.19	-1
1	1	-6.01503	5.76034	-1	-1	-1
1	1	-5.86503	5.76034	-1	-1	-1
1	1	-5.71503	5.76034	-1	-1	-1
1	1	-5.56503	5.76034	-1	-1	-1
1	1	-5.41503	5.76034	-1	-1	-1
1	1	-5.26503	5.76034	-1	-1	-1
1	1	-5.11503	5.76034	-1	-1	-1
1	1	-4.96503	5.76034	-1	-1	-1
1	1	-4.81503	5.76034	-1	-1	-1
1	1	-4.66503	5.76034	-1	-1	-1
1	1	-6.91503	5.91034	-1	-1	-1
1	1	-6.76503	5.91034	-1	-1	-1
1	1	-6.61503	5.91034	5071	5187.66	-1
1	1	-6.46503	5.91034	4917	4989.25	-1
1	1	-6.31503	5.91034	4585	4656.56	-1
1	1	-6.16503	5.91034	-1	-1	-1
1	1	-6.01503	5.91034	-1	-1	-1
1	1	-5.86503	5.91034	-1	-1	-1
1	1	-5.71503	5.91034	-1	-1	-1
1	1	-5.56503	5.91034	-1	-1	-1
1	1	-5.41503	5.91034	-1	-1	-1
1	1	-5.26503	5.91034	-1	-1	-1
1	1	-5.11503	5.91034	-1	-1	-1
1	1	-4.96503	5.91034	-1	-1	-1
1	1	-4.81503	5.91034	-1	-1	-1
1	1	-4.66503	5.91034	-1	-1	-1
1	1	-6.91503	6.06034	-1	-1	-1
1	1	-6.76503	6.06034	-1	-1	-1
1	1	-6.61503	6.06034	-1	-1	-1
1	1	-6.46503	6.06034	5063	5145.56	-1
1	1	-6.31503	6.06034	5212	5282.59	-1
1	1	-6.16503	6.06034	-1	-1	-1
1	1	-6.01503	6.06034	-1	-1	-1
1	1	-5.86503	6.06034	-1	-1	-1
1	1	-5.71503	6.06034	-1	-1	-1
1	1	-5.56503	6.06034	-1	-1	-1
1	1	-5.41503	6.06034	-1	-1	-1
1	1	-5.26503	6.06034	-1	-1	-1
1	1	-5.11503	6.06034	-1	-1	-1
1	1	-4.96503	6.06034	-1	-1	-1
1	1	-4.81503	6.06034	-1	-1	-1
1	1	-4.66503	6.06034	-1	-1	-1
1	1	-6.91503	6.21034	-1	-1	-1
1	1	-6.76503	6.21034	-1	-1	-1
1	1	-6.61503	6.21034	-1	-1	-1
1	1	-6.46503	6.21034	-1	-1	-1
1	1	-6.31503	6.21034	5278	5344.22	-1
1	1	-6.16503	6.21034	-1	-1	-1
1	1	-6.01503	6.21034	-1	-1	-1
1	1	-5.86503	6.21034	-1	-1	-1
1	1	-5.71503	6.21034	-1	-1	-1
1	1	-5.56503	6.21034	-1	-1	-1
1	1	-5.41503	6.21034	-1	-1	-1
1	1	-5.26503	6.21034	-1	-1	-1
1	1	-5.11503	6.21034	-1	-1	-1
1	1	-4.96503	6.21034	-1	-1	-1
1	1	-4.81503	6.21034	-1	-1	-1
1	1	-4.66503	6.21034	-1	-1	-1
1	1	-6.91503	6.36034	-1	-1	-1
1	1	-6.76503	6.36034	-1	-1	-1
1	1	-6.61503	6.36034	-1	-1	-1
1	1	-6.46503	6.36034	-1	-1	-1
1	1	-6.31503	6.36034	-1	-1	-1
1	1	-6.16503	6.36034	-1	-1	-1
1	1	-6.01503	6.36034	-1	-1	-1
1	1	-5.86503	6.36034	-1	-1	-1
1	1	-5.71503	6.36034	-1	-1	-1
1	1	-5.56503	6.36034	-1	-1	-1
1	1	-5.41503	6.36034	-1	-1	-1
1	1	-5.26503	6.36034	-1	-1	-1
1	1	-5.11503	6.36034	-1	-1	-1
