Pile ID	Distribution Type	X-Position	Y-Position	Pickup Time	Drop Off Time	Ant ID
1	1	3.98857	-4.52613	951	999.344	-1
1	1	4.13857	-4.52613	-1	-1	-1
1	1	4.28857	-4.52613	-1	-1	-1
1	1	4.43857	-4.52613	-1	-1	-1
1	1	4.58857	-4.52613	-1	-1	-1
1	1	4.73857	-4.52613	-1	-1	-1
1	1	4.88857	-4.52613	-1	-1	-1
1	1	5.03857	-4.52613	-1	-1	-1
1	1	5.18857	-4.52613	-1	-1	-1
1	1	5.33857	-4.52613	3063	3137.59	-1
1	1	5.48857	-4.52613	2945	3005.62	-1
1	1	5.63857	-4.52613	2789	2849.72	-1
1	1	5.78857	-4.52613	2906	2976.31	-1
1	1	5.93857	-4.52613	3066	3153.88	-1
1	1	6.08857	-4.52613	3354	3436.34	-1
1	1	6.23857	-4.52613	3028	3107.94	-1
1	1	3.98857	-4.37613	834	896	-1
1	1	4.13857	-4.37613	1390	1439.34	-1
1	1	4.28857	-4.37613	-1	-1	-1
1	1	4.43857	-4.37613	-1	-1	-1
1	1	4.58857	-4.37613	-1	-1	-1
1	1	4.73857	-4.37613	-1	-1	-1
1	1	4.88857	-4.37613	-1	-1	-1
1	1	5.03857	-4.37613	-1	-1	-1
1	1	5.18857	-4.37613	-1	-1	-1
1	1	5.33857	-4.37613	-1	-1	-1
1	1	5.48857	-4.37613	-1	-1	-1
1	1	5.63857	-4.37613	4627	4683.69	-1
1	1	5.78857	-4.37613	4373	4427.34	-1
1	1	5.93857	-4.37613	4455	4520.59	-1
1	1	6.08857	-4.37613	3901	3976.22	-1
1	1	6.23857	-4.37613	3180	3282.31	-1
1	1	3.98857	-4.22613	739	783.125	-1
1	1	4.13857	-4.22613	1197	1343.22	-1
1	1	4.28857	-4.22613	1491	1542.34	-1
1	1	4.43857	-4.22613	-1	-1	-1
1	1	4.58857	-4.22613	-1	-1	-1
1	1	4.73857	-4.22613	-1	-1	-1
1	1	4.88857	-4.22613	-1	-1	-1
1	1	5.03857	-4.22613	-1	-1	-1
1	1	5.18857	-4.22613	-1	-1	-1
1	1	5.33857	-4.22613	-1	-1	-1
1	1	5.48857	-4.22613	-1	-1	-1
1	1	5.63857	-4.22613	4500	4554.41	-1
1	1	5.78857	-4.22613	4321	4394.28	-1
1	1	5.93857	-4.22613	4035	4115.09	-1
1	1	6.08857	-4.22613	3612	3679.12	-1
1	1	6.23857	-4.22613	3741	3807.34	-1
1	1	3.98857	-4.07613	438	595.938	-1
1	1	4.13857	-4.07613	667	713.875	-1
1	1	4.28857	-4.07613	1404	1455.22	-1
1	1	4.43857	-4.07613	-1	-1	-1
1	1	4.58857	-4.07613	-1	-1	-1
1	1	4.73857	-4.07613	-1	-1	-1
1	1	4.88857	-4.07613	-1	-1	-1
1	1	5.03857	-4.07613	-1	-1	-1
1	1	5.18857	-4.07613	-1	-1	-1
1	1	5.33857	-4.07613	-1	-1	-1
1	1	5.48857	-4.07613	-1	-1	-1
1	1	5.63857	-4.07613	-1	-1	-1
1	1	5.78857	-4.07613	4191	4254.41	-1
1	1	5.93857	-4.07613	3884	3968.47	-1
1	1	6.08857	-4.07613	3570	3648.81	-1
1	1	6.23857	-4.07613	3424	3504.25	-1
1	1	3.98857	-3.92613	637	696.281	-1
1	1	4.13857	-3.92613	759	807.438	-1
1	1	4.28857	-3.92613	5063	5111.56	-1
1	1	4.43857	-3.92613	-1	-1	-1
1	1	4.58857	-3.92613	-1	-1	-1
1	1	4.73857	-3.92613	-1	-1	-1
1	1	4.88857	-3.92613	-1	-1	-1
1	1	5.03857	-3.92613	-1	-1	-1
1	1	5.18857	-3.92613	-1	-1	-1
1	1	5.33857	-3.92613	-1	-1	-1
1	1	5.48857	-3.92613	-1	-1	-1
1	1	5.63857	-3.92613	4241	4349.78	-1
1	1	5.78857	-3.92613	4216	4275	-1
1	1	5.93857	-3.92613	4065	4132.84	-1
1	1	6.08857	-3.92613	3594	3691.66	-1
1	1	6.23857	-3.92613	3374	3482.66	-1
1	1	3.98857	-3.77613	623	669.312	-1
1	1	4.13857	-3.77613	5139	5184.16	-1
1	1	4.28857	-3.77613	5044	5087.66	-1
1	1	4.43857	-3.77613	4865	5004.34	-1
1	1	4.58857	-3.77613	3504	3549.56	-1
1	1	4.73857	-3.77613	3603	3655.12	-1
1	1	4.88857	-3.77613	-1	-1	-1
1	1	5.03857	-3.77613	-1	-1	-1
1	1	5.18857	-3.77613	-1	-1	-1
1	1	5.33857	-3.77613	-1	-1	-1
1	1	5.48857	-3.77613	-1	-1	-1
1	1	5.63857	-3.77613	4540	4596.47	-1
1	1	5.78857	-3.77613	4416	4474.94	-1
