Pile ID	Distribution Type	X-Position	Y-Position	Pickup Time	Drop Off Time	Ant ID
1	1	-6.24813	5.81975	-1	-1	-1
1	1	-6.09813	5.81975	3670	3733.38	-1
1	1	-5.94813	5.81975	3448	3524.53	-1
1	1	-5.79813	5.81975	3307	3372.59	-1
1	1	-5.64813	5.81975	2992	3055.03	-1
1	1	-5.49813	5.81975	3109	3181.34	-1
1	1	-5.34813	5.81975	3996	4057.62	-1
1	1	-5.19813	5.81975	4484	4554.5	-1
1	1	-5.04813	5.81975	2743	2802.81	-1
1	1	-4.89813	5.81975	4452	4519.22	-1
1	1	-4.74813	5.81975	5067	5135.88	-1
1	1	-4.59813	5.81975	-1	-1	-1
1	1	-4.44813	5.81975	-1	-1	-1
1	1	-4.29813	5.81975	1439	1512.47	-1
1	1	-4.14813	5.81975	1324	1383.62	-1
1	1	-3.99813	5.81975	1922	2053.16	-1
1	1	-6.24813	5.96975	-1	-1	-1
1	1	-6.09813	5.96975	-1	-1	-1
1	1	-5.94813	5.96975	3521	3595.12	-1
1	1	-5.79813	5.96975	3439	3519.44	-1
1	1	-5.64813	5.96975	3382	3452.62	-1
1	1	-5.49813	5.96975	3246	3316.84	-1
1	1	-5.34813	5.96975	3292	3354.38	-1
1	1	-5.19813	5.96975	3571	3648.06	-1
1	1	-5.04813	5.96975	3710	3778.56	-1
1	1	-4.89813	5.96975	4317	4389.47	-1
1	1	-4.74813	5.96975	4931	5004.78	-1
1	1	-4.59813	5.96975	-1	-1	-1
1	1	-4.44813	5.96975	-1	-1	-1
1	1	-4.29813	5.96975	-1	-1	-1
1	1	-4.14813	5.96975	-1	-1	-1
1	1	-3.99813	5.96975	-1	-1	-1
1	1	-6.24813	6.11975	-1	-1	-1
1	1	-6.09813	6.11975	-1	-1	-1
1	1	-5.94813	6.11975	4303	4375.78	-1
1	1	-5.79813	6.11975	4164	4229.88	-1
1	1	-5.64813	6.11975	3583	3662.28	-1
1	1	-5.49813	6.11975	3422	3485.31	-1
1	1	-5.34813	6.11975	3694	3771.69	-1
1	1	-5.19813	6.11975	3849	3925	-1
1	1	-5.04813	6.11975	3868	3931.78	-1
1	1	-4.89813	6.11975	4453	4538.91	-1
1	1	-4.74813	6.11975	5231	5292.5	-1
1	1	-4.59813	6.11975	5080	5146.69	-1
1	1	-4.44813	6.11975	-1	-1	-1
1	1	-4.29813	6.11975	-1	-1	-1
1	1	-4.14813	6.11975	-1	-1	-1
1	1	-3.99813	6.11975	-1	-1	-1
1	1	-6.24813	6.26975	-1	-1	-1
1	1	-6.09813	6.26975	-1	-1	-1
1	1	-5.94813	6.26975	5021	5099.31	-1
1	1	-5.79813	6.26975	4787	4854	-1
1	1	-5.64813	6.26975	4120	4191.41	-1
1	1	-5.49813	6.26975	3553	3635.84	-1
1	1	-5.34813	6.26975	3849	3918.03	-1
1	1	-5.19813	6.26975	4248	4314.91	-1
1	1	-5.04813	6.26975	4603	4665.84	-1
1	1	-4.89813	6.26975	4731	4802.47	-1
1	1	-4.74813	6.26975	4876	4936.53	-1
1	1	-4.59813	6.26975	5203	5264.88	-1
1	1	-4.44813	6.26975	-1	-1	-1
1	1	-4.29813	6.26975	-1	-1	-1
1	1	-4.14813	6.26975	-1	-1	-1
1	1	-3.99813	6.26975	-1	-1	-1
1	1	-6.24813	6.41975	-1	-1	-1
1	1	-6.09813	6.41975	-1	-1	-1
1	1	-5.94813	6.41975	-1	-1	-1
1	1	-5.79813	6.41975	4657	4793.22	-1
1	1	-5.64813	6.41975	4433	4524.16	-1
1	1	-5.49813	6.41975	3978	4046.47	-1
1	1	-5.34813	6.41975	4002	4071.88	-1
1	1	-5.19813	6.41975	4117	4185.5	-1
1	1	-5.04813	6.41975	5328	5394.16	-1
1	1	-4.89813	6.41975	5098	5161.5	-1
1	1	-4.74813	6.41975	5360	-1	-1
1	1	-4.59813	6.41975	-1	-1	-1
1	1	-4.44813	6.41975	-1	-1	-1
1	1	-4.29813	6.41975	-1	-1	-1
1	1	-4.14813	6.41975	-1	-1	-1
1	1	-3.99813	6.41975	-1	-1	-1
1	1	-6.24813	6.56975	-1	-1	-1
1	1	-6.09813	6.56975	-1	-1	-1
1	1	-5.94813	6.56975	-1	-1	-1
1	1	-5.79813	6.56975	-1	-1	-1
1	1	-5.64813	6.56975	4593	4669.03	-1
1	1	-5.49813	6.56975	4144	4210.56	-1
1	1	-5.34813	6.56975	4284	4365.75	-1
1	1	-5.19813	6.56975	4328	4395.41	-1
1	1	-5.04813	6.56975	4737	4800.53	-1
1	1	-4.89813	6.56975	-1	-1	-1
1	1	-4.74813	6.56975	-1	-1	-1
1	1	-4.59813	6.56975	-1	-1	-1
1	1	-4.44813	6.56975	-1	-1	-1
1	1	-4.29813	6.56975	-1	-1	-1
1	1	-4.14813	6.56975	-1	-1	-1
1	1	-3.99813	6.56975	-1	-1	-1
1	1	-6.24813	6.71975	-1	-1	-1
1	1	-6.09813	6.71975	-1	-1	-1
1	1	-5.94813	6.71975	-1	-1	-1
1	1	-5.79813	6.71975	-1	-1	-1
1	1	-5.64813	6.71975	4610	4681.97	-1
1	1	-5.49813	6.71975	4757	4838.19	-1
1	1	-5.34813	6.71975	5204	5272.47	-1
1	1	-5.19813	6.71975	4871	4944.28	-1
1	1	-5.04813	6.71975	-1	-1	-1
1	1	-4.89813	6.71975	-1	-1	-1
1	1	-4.74813	6.71975	-1	-1	-1
1	1	-4.59813	6.71975	-1	-1	-1
1	1	-4.44813	6.71975	-1	-1	-1
1	1	-4.29813	6.71975	-1	-1	-1
1	1	-4.14813	6.71975	-1	-1	-1
1	1	-3.99813	6.71975	4507	4573.84	-1
1	1	-6.24813	6.86975	-1	-1	-1
1	1	-6.09813	6.86975	-1	-1	-1
1	1	-5.94813	6.86975	-1	-1	-1
1	1	-5.79813	6.86975	-1	-1	-1
1	1	-5.64813	6.86975	4915	4988.56	-1
1	1	-5.49813	6.86975	5058	5143.28	-1
1	1	-5.34813	6.86975	5215	5285.53	-1
1	1	-5.19813	6.86975	-1	-1	-1
1	1	-5.04813	6.86975	-1	-1	-1
1	1	-4.89813	6.86975	-1	-1	-1
1	1	-4.74813	6.86975	-1	-1	-1
1	1	-4.59813	6.86975	-1	-1	-1
1	1	-4.44813	6.86975	-1	-1	-1
1	1	-4.29813	6.86975	-1	-1	-1
1	1	-4.14813	6.86975	-1	-1	-1
1	1	-3.99813	6.86975	4637	4717.81	-1
1	1	-6.24813	7.01975	-1	-1	-1
1	1	-6.09813	7.01975	-1	-1	-1
1	1	-5.94813	7.01975	-1	-1	-1
1	1	-5.79813	7.01975	-1	-1	-1
1	1	-5.64813	7.01975	-1	-1	-1
1	1	-5.49813	7.01975	5357	-1	-1
1	1	-5.34813	7.01975	-1	-1	-1
1	1	-5.19813	7.01975	-1	-1	-1
1	1	-5.04813	7.01975	-1	-1	-1
1	1	-4.89813	7.01975	-1	-1	-1
1	1	-4.74813	7.01975	-1	-1	-1
1	1	-4.59813	7.01975	-1	-1	-1
1	1	-4.44813	7.01975	-1	-1	-1
1	1	-4.29813	7.01975	-1	-1	-1
1	1	-4.14813	7.01975	-1	-1	-1
1	1	-3.99813	7.01975	1059	1127.19	-1
1	1	-6.24813	7.16975	-1	-1	-1
1	1	-6.09813	7.16975	-1	-1	-1
1	1	-5.94813	7.16975	-1	-1	-1
1	1	-5.79813	7.16975	-1	-1	-1
1	1	-5.64813	7.16975	-1	-1	-1
1	1	-5.49813	7.16975	-1	-1	-1
1	1	-5.34813	7.16975	-1	-1	-1
1	1	-5.19813	7.16975	-1	-1	-1
1	1	-5.04813	7.16975	-1	-1	-1
1	1	-4.89813	7.16975	-1	-1	-1
1	1	-4.74813	7.16975	-1	-1	-1
1	1	-4.59813	7.16975	-1	-1	-1
1	1	-4.44813	7.16975	-1	-1	-1
1	1	-4.29813	7.16975	-1	-1	-1
1	1	-4.14813	7.16975	-1	-1	-1
1	1	-3.99813	7.16975	810	874.656	-1
1	1	-6.24813	7.31975	-1	-1	-1
1	1	-6.09813	7.31975	-1	-1	-1
1	1	-5.94813	7.31975	-1	-1	-1
1	1	-5.79813	7.31975	-1	-1	-1
1	1	-5.64813	7.31975	-1	-1	-1
1	1	-5.49813	7.31975	-1	-1	-1
1	1	-5.34813	7.31975	-1	-1	-1
1	1	-5.19813	7.31975	-1	-1	-1
1	1	-5.04813	7.31975	-1	-1	-1
1	1	-4.89813	7.31975	-1	-1	-1
1	1	-4.74813	7.31975	-1	-1	-1
1	1	-4.59813	7.31975	-1	-1	-1
1	1	-4.44813	7.31975	-1	-1	-1
1	1	-4.29813	7.31975	-1	-1	-1
1	1	-4.14813	7.31975	-1	-1	-1
1	1	-3.99813	7.31975	953	1016.06	-1
1	1	-6.24813	7.46975	-1	-1	-1
1	1	-6.09813	7.46975	-1	-1	-1
1	1	-5.94813	7.46975	-1	-1	-1
1	1	-5.79813	7.46975	-1	-1	-1
1	1	-5.64813	7.46975	-1	-1	-1
1	1	-5.49813	7.46975	-1	-1	-1
1	1	-5.34813	7.46975	-1	-1	-1
1	1	-5.19813	7.46975	-1	-1	-1
1	1	-5.04813	7.46975	-1	-1	-1
1	1	-4.89813	7.46975	-1	-1	-1
1	1	-4.74813	7.46975	-1	-1	-1
1	1	-4.59813	7.46975	-1	-1	-1
1	1	-4.44813	7.46975	-1	-1	-1
1	1	-4.29813	7.46975	-1	-1	-1
1	1	-4.14813	7.46975	-1	-1	-1
1	1	-3.99813	7.46975	-1	-1	-1
1	1	-6.24813	7.61975	-1	-1	-1
1	1	-6.09813	7.61975	-1	-1	-1
1	1	-5.94813	7.61975	-1	-1	-1
1	1	-5.79813	7.61975	-1	-1	-1
1	1	-5.64813	7.61975	-1	-1	-1
1	1	-5.49813	7.61975	-1	-1	-1
1	1	-5.34813	7.61975	-1	-1	-1
1	1	-5.19813	7.61975	-1	-1	-1
1	1	-5.04813	7.61975	-1	-1	-1
1	1	-4.89813	7.61975	-1	-1	-1
1	1	-4.74813	7.61975	-1	-1	-1
1	1	-4.59813	7.61975	-1	-1	-1
1	1	-4.44813	7.61975	-1	-1	-1
1	1	-4.29813	7.61975	-1	-1	-1
1	1	-4.14813	7.61975	-1	-1	-1
1	1	-3.99813	7.61975	-1	-1	-1
1	1	-6.24813	7.76975	-1	-1	-1
1	1	-6.09813	7.76975	-1	-1	-1
1	1	-5.94813	7.76975	-1	-1	-1
1	1	-5.79813	7.76975	-1	-1	-1
1	1	-5.64813	7.76975	-1	-1	-1
1	1	-5.49813	7.76975	-1	-1	-1
1	1	-5.34813	7.76975	-1	-1	-1
1	1	-5.19813	7.76975	-1	-1	-1
1	1	-5.04813	7.76975	-1	-1	-1
1	1	-4.89813	7.76975	-1	-1	-1
1	1	-4.74813	7.76975	-1	-1	-1
1	1	-4.59813	7.76975	-1	-1	-1
1	1	-4.44813	7.76975	-1	-1	-1
1	1	-4.29813	7.76975	-1	-1	-1
1	1	-4.14813	7.76975	-1	-1	-1
1	1	-3.99813	7.76975	-1	-1	-1
1	1	-6.24813	7.91975	-1	-1	-1
1	1	-6.09813	7.91975	-1	-1	-1
1	1	-5.94813	7.91975	-1	-1	-1
1	1	-5.79813	7.91975	-1	-1	-1
1	1	-5.64813	7.91975	-1	-1	-1
1	1	-5.49813	7.91975	-1	-1	-1
1	1	-5.34813	7.91975	-1	-1	-1
1	1	-5.19813	7.91975	-1	-1	-1
1	1	-5.04813	7.91975	-1	-1	-1
1	1	-4.89813	7.91975	-1	-1	-1
1	1	-4.74813	7.91975	-1	-1	-1
1	1	-4.59813	7.91975	-1	-1	-1
1	1	-4.44813	7.91975	-1	-1	-1
1	1	-4.29813	7.91975	-1	-1	-1
1	1	-4.14813	7.91975	-1	-1	-1
1	1	-3.99813	7.91975	-1	-1	-1
1	1	-6.24813	8.06975	-1	-1	-1
1	1	-6.09813	8.06975	-1	-1	-1
1	1	-5.94813	8.06975	-1	-1	-1
1	1	-5.79813	8.06975	-1	-1	-1
1	1	-5.64813	8.06975	-1	-1	-1
1	1	-5.49813	8.06975	-1	-1	-1
1	1	-5.34813	8.06975	-1	-1	-1
1	1	-5.19813	8.06975	-1	-1	-1
1	1	-5.04813	8.06975	-1	-1	-1
1	1	-4.89813	8.06975	5260	5329.41	-1
1	1	-4.74813	8.06975	5396	-1	-1
1	1	-4.59813	8.06975	-1	-1	-1
1	1	-4.44813	8.06975	-1	-1	-1
1	1	-4.29813	8.06975	-1	-1	-1
1	1	-4.14813	8.06975	-1	-1	-1
1	1	-3.99813	8.06975	-1	-1	-1
2	4	-6.85332	2.24112	-1	-1	-1
2	4	-6.70332	2.24112	-1	-1	-1
2	4	-6.55332	2.24112	-1	-1	-1
2	4	-6.40332	2.24112	-1	-1	-1
2	4	-6.25332	2.24112	-1	-1	-1
2	4	-6.10332	2.24112	-1	-1	-1
2	4	-5.95332	2.24112	-1	-1	-1
2	4	-5.80332	2.24112	-1	-1	-1
2	4	-6.85332	2.39112	-1	-1	-1
2	4	-6.70332	2.39112	-1	-1	-1
2	4	-6.55332	2.39112	-1	-1	-1
2	4	-6.40332	2.39112	-1	-1	-1
2	4	-6.25332	2.39112	-1	-1	-1
2	4	-6.10332	2.39112	-1	-1	-1
2	4	-5.95332	2.39112	-1	-1	-1
2	4	-5.80332	2.39112	-1	-1	-1
2	4	-6.85332	2.54112	-1	-1	-1
2	4	-6.70332	2.54112	-1	-1	-1
2	4	-6.55332	2.54112	-1	-1	-1
2	4	-6.40332	2.54112	-1	-1	-1
2	4	-6.25332	2.54112	-1	-1	-1
2	4	-6.10332	2.54112	-1	-1	-1
2	4	-5.95332	2.54112	-1	-1	-1
2	4	-5.80332	2.54112	-1	-1	-1
2	4	-6.85332	2.69112	-1	-1	-1
2	4	-6.70332	2.69112	-1	-1	-1
2	4	-6.55332	2.69112	-1	-1	-1
2	4	-6.40332	2.69112	-1	-1	-1
2	4	-6.25332	2.69112	-1	-1	-1
2	4	-6.10332	2.69112	-1	-1	-1
2	4	-5.95332	2.69112	-1	-1	-1
2	4	-5.80332	2.69112	-1	-1	-1
2	4	-6.85332	2.84112	-1	-1	-1
2	4	-6.70332	2.84112	-1	-1	-1
2	4	-6.55332	2.84112	-1	-1	-1
2	4	-6.40332	2.84112	-1	-1	-1
2	4	-6.25332	2.84112	-1	-1	-1
2	4	-6.10332	2.84112	-1	-1	-1
2	4	-5.95332	2.84112	-1	-1	-1
2	4	-5.80332	2.84112	-1	-1	-1
2	4	-6.85332	2.99112	-1	-1	-1
2	4	-6.70332	2.99112	-1	-1	-1
2	4	-6.55332	2.99112	-1	-1	-1
2	4	-6.40332	2.99112	-1	-1	-1
2	4	-6.25332	2.99112	-1	-1	-1
