RandomSeed	CP1	CP2	CP3	CP4
517871934	1330	2940	4630	5210
1227103299	570	1220	4520	4940
2737564893	1420	3220	4570	4920
3653759354	1000	2540	3490	4440
2987935626	680	1570	4290	4760
3664786015	3400	5000	5180	5280
1452471463	2080	4010	4930	5170
2246241605	910	1700	4680	5040
1723477945	1800	2860	3760	4440
2192730695	1410	2400	3400	4400
3742844128	610	1230	3190	4540
1765252531	480	710	930	2870
2926795307	370	560	740	2590
4096267878	1190	1960	4260	4850
170213397	930	1860	4330	4830
3683654040	570	810	1050	3590
2321905849	390	880	3080	4630
2317397057	2030	3880	4250	4990
1689172949	250	550	1380	3710
2112921525	800	1640	3990	4640
2504106561	550	1150	4030	4650
3962143194	890	1850	4190	4700
1138817246	1580	3240	4760	5060
185172935	250	510	1030	3990
3117489099	250	510	1020	3590
2229616622	200	410	820	3570
2707876291	2020	4400	4890	5140
2268415304	5110	5190	5220	5310
835117613	210	420	870	2820
982298188	2260	4500	4710	4940
2799240110	1940	4140	5010	5210
3033058056	820	1650	4070	4710
1434776838	1750	3540	5020	5200
282213317	2340	3790	4360	4890
3049447256	870	2360	4220	4810
1091113560	550	1280	1860	3210
2828231414	5020	5070	5180	5320
1566054754	2550	4810	4930	5060
441450177	4920	5040	5200	5300
3051889160	960	1710	2360	3700
1939545912	790	1590	4190	4800
711050563	1810	4010	4410	5030
1197610179	620	920	2660	4070
143107513	1410	4740	4870	5010
1286132353	460	990	2530	4080
2292247144	540	1290	1860	3230
3092308182	2120	4400	4560	4780
707894278	130	260	530	4180
3893471302	130	270	550	2030
2234062153	1530	4550	4750	4950
1622863600	290	590	2180	4440
2311900821	1180	2350	3520	4700
4208972428	120	230	340	460
3306893991	1390	3010	3750	4560
1553798474	130	280	620	3130
2170011112	2170	2910	4230	4440
863480652	1590	1770	1960	3680
3691205836	910	1820	4380	4870
1153646973	2120	2590	3540	4230
1182952088	440	1350	4490	4870
481554187	1350	2070	4250	4730
952219094	360	1470	2930	4150
880739968	180	370	800	3230
1542583891	1250	3100	4660	5030
1205954961	1970	4550	4750	5020
3202411410	970	1510	4140	4780
3172857319	1560	2940	4720	5080
3997502582	2190	4450	4860	5150
3885534788	950	2500	4380	4910
1882825775	690	2370	4320	4880
2432261869	370	740	2380	4440
2622833482	720	1770	4310	4850
1246644024	700	1280	3740	4620
1488740665	180	370	1950	4450
4049839035	1460	3300	4530	5000
497441617	950	1580	3960	4600
420204131	600	890	1180	4050
3574842670	730	1220	4060	4800
1337447744	330	1920	3280	4370
1492206712	380	770	1480	2630
2454922389	590	1010	2480	3920
1205264910	410	820	3020	4520
2764083082	350	710	2270	3090
1198690960	540	1080	3620	4340
3658457678	720	1070	1420	4060
848727745	1220	2450	4100	4790
1498861531	430	860	2250	3650
4053738649	620	1250	3860	4580
3884934170	470	630	3940	4670
1299324319	1840	3060	4090	4560
597531840	2560	4570	4710	4830
3937799660	650	1720	3620	4620
4124519012	620	1190	3760	4520
664878979	1020	1770	4150	4810
546957697	550	650	1190	1720
874139106	860	2850	4660	4970
704549701	370	740	3630	4610
1527276457	1790	2400	3310	3940
2128617802	820	1600	4340	4770
1697736081	470	950	1550	2400
805980819	2400	4440	4680	4940
2906684761	170	410	1210	2680
137569783	1810	2670	4360	4910
3005449562	310	590	2340	4420
1985888470	1120	2370	4470	4800
2003587796	580	1160	2540	4280
3518921323	200	460	980	3900
372369988	4910	5070	5090	5110
1988579239	630	1240	4040	4680
831454103	360	520	690	3190
2582180546	780	1560	2300	3200
4234581840	1060	1690	3880	4640
2097186333	2490	4530	4690	4910
2541581759	530	1070	3430	4590
4139949842	860	1570	4150	4840
415844644	610	1170	3640	4640
2867782780	2070	4420	4920	5160
1244957332	440	1160	3200	4230
796371878	560	1080	3500	4250
1526022721	500	2040	4470	4950
1491734269	2350	4310	5230	5300
1426039719	490	1050	3450	4330
1013432951	780	1560	4160	4850
737521833	640	1340	3890	4710
472019697	440	670	890	3100
2354872562	660	1550	4340	4820
3741671192	700	2800	4570	5030
2344649012	320	1600	3820	4980
269068333	1870	4410	4950	5140
2286397876	190	390	800	4190
4249901595	160	430	2630	5080
1093095411	1040	2780	4450	4920
3584826988	730	2450	4620	4980
1127060016	520	1350	3760	4550
3077709276	510	1020	3040	4830
1340516499	3000	4710	5040	5220
275842173	1950	4540	5050	5200
3511462177	2250	4600	4800	4880
3360738069	150	310	1140	4270
1831428319	2390	4710	4860	5110
2762401364	3020	4610	4810	5000
1645832677	2180	4270	4840	5120
2604211993	900	1810	4440	4840
1132067311	960	2520	4980	5140
3994215624	750	1450	4030	4710
3983837013	250	500	1870	4200
1833059540	2360	4670	4930	5060
2266120810	800	1760	4290	4740
1172588399	2400	4470	4650	4880
2782219942	600	2620	4580	5100
1367613852	140	280	550	2120
3492520312	1060	1950	2830	4270
347599172	710	1220	3620	4620
3135295601	810	1700	3980	4730
879655226	710	2280	4210	4700
1046793366	970	1920	4260	4810
4284747964	1020	2040	4450	5030
1104023218	230	460	940	2720
2003278871	520	710	900	2590
308863633	2320	2810	3680	4030
3143667147	980	1960	4310	4860
2054341634	710	1430	4310	4870
3433229355	3150	4830	5110	5250
2309747477	2140	4470	4680	4900
3558662137	790	2050	3650	4660
585597846	910	1820	4350	4940
1897783398	1110	3410	4940	5140
3750355363	1010	1810	4100	4770
3727521711	750	1380	3880	4670
3634880038	550	710	920	2680
1113483560	720	1690	3520	4730
1237715081	800	1700	4170	4580
2983355323	930	1780	4250	4780
1947878690	1440	4750	5090	5240
1051435148	560	1120	3630	4780
2382271697	460	890	3790	4400
507501643	1230	4620	4780	4980
568233136	170	310	450	620
3319207915	150	300	590	3510
95150357	260	510	1110	3610
3680736834	2170	3050	3720	4860
2811871216	580	1740	3310	4470
1195284021	520	1070	3940	4670
1316302518	160	330	790	3220
4278572518	380	760	2580	4270
1429202009	2190	4570	5080	5230
1376374315	410	810	4210	4860
3146834841	150	230	320	2030
1131458314	410	1230	3350	4780
2001764236	660	1460	4300	4840
3193172659	1420	3170	4660	5030
191329672	670	1340	3300	4290
682589443	790	2640	4700	5070
146578520	500	990	2980	4610
932666997	480	2300	4350	4680
509349621	830	1650	3430	4170
4238801213	330	1440	4010	4930
1752699137	2010	4890	5150	5290
2037439774	1510	2800	4340	4900
2757175943	1470	2620	3610	4710
2919329264	590	1190	3740	4560
3998928264	770	3420	3920	4410
3994574495	200	360	1630	4170
2783600845	600	1130	3490	4520
1375064758	760	1700	3840	4250
1167235507	140	280	420	570
4152466951	570	1160	3800	4410
1753070611	1980	3980	4600	5040
2550099130	170	330	770	2390
1490547752	700	1490	4040	4530
1466578631	590	1180	3540	4770
3491701237	860	2630	4230	4730
2847189846	2390	3850	4360	4880
3749446799	2360	4530	4740	4950
735069532	860	1620	4240	4770
1626587611	690	1560	3950	4960
68551999	770	1540	4460	4840
2223828649	1240	1860	4200	4850
4105201769	380	750	1890	4390
3157930097	110	230	630	3230
189709885	790	1160	1540	3790
214149351	600	1180	4400	4910
1803245909	890	1960	3040	4260
4217804283	2300	4750	5070	5240
3688019701	1290	3280	4860	5120
1796176457	2150	4480	4710	4920
885905749	980	2010	3940	4960
1055783420	370	730	3870	4860
2962108129	1700	4540	4760	4970
2764200831	2020	4410	4890	5170
1653524338	920	1670	3640	4780
3739542573	720	960	1190	3820
2595130513	2430	3840	4900	5150
782888308	2080	3390	4630	5140
2118811186	600	1190	3650	4500
3924459234	250	490	1150	4330
732851856	920	3070	4580	4990
932906039	2060	4490	4720	4950
5884705	1010	4690	4800	4940
1039028641	1840	4250	5040	5230
3109810896	2310	4680	4860	5040
2365792905	2310	4510	4720	5040
1062197191	250	510	1080	3540
1907891669	800	1480	4270	4820
3489716681	800	1760	4310	4790
3993136974	1060	2530	3980	5050
1683982465	420	750	2350	4780
2994180991	1850	3820	5070	5220
3524177531	4990	5110	5230	5340
4100080074	2660	4470	4700	4900
331571325	1140	2640	3460	4430
261706812	2500	4580	4730	4880
1996406921	90	190	280	380
1039469535	650	1910	4790	5080
3547703379	260	450	1100	3390
3786793572	1670	2850	3860	4400
2496489609	1370	3810	4600	5000
2887707971	320	460	610	2180
1317588938	1220	2980	4140	5110
2392861266	2970	4390	4670	5180
4149429638	400	1910	3980	4790
3603015071	540	1250	3820	4510
3154484492	4820	4980	5080	5230
1282159879	1830	4950	5160	5330
2192771565	860	1860	4540	5040
2317325517	510	670	810	3060
2313175901	4820	4990	5110	5250
2417902801	2760	4640	5090	5260
791300453	2350	4490	4950	5170
2618139428	180	450	1230	3840
2590297747	1130	3260	4780	5090
3564474809	930	1920	4240	4890
1298732263	700	1420	3830	4440
3723647877	2240	4470	4740	4950
2476104809	200	410	820	2900
3041732410	880	2080	3830	4670
1292741015	1320	1560	2080	2390
2075446947	590	1230	3860	4680
497545794	140	290	630	2370
4001799206	1350	3860	4770	5120
3666505647	640	2120	4290	4780
2406384722	280	570	2530	4450
1589151483	740	1660	2630	3360
2146108897	610	1230	3970	4690
620539225	1650	2170	2780	3110
3633404030	420	850	1700	4000
58042969	850	2950	4600	5140
3398969412	250	620	1700	3670
2989694094	910	1580	4280	4750
2610895883	2000	4460	4700	4950
3325086986	840	1700	4040	4710
3064838371	900	1890	4330	4890
694117159	1800	4630	4910	5180
212043402	1020	1670	4070	4620
3580588890	1830	2840	4350	4690
278006558	1780	2230	3430	4820
883717399	1010	1780	4190	4730
3984896489	2140	4580	4770	4950
2608401498	750	1740	4440	4800
3309453847	530	1770	3160	4470
2338749760	230	460	950	2970
1874324111	500	910	3010	4670
927582311	490	950	3570	4520
1003132776	140	280	420	560
2273047547	140	380	690	2910
2038958988	850	1700	4210	4720
2916520392	510	1040	2780	4620
1292696474	920	1750	4050	4650
1058506388	400	810	3830	4620
4149443655	740	1610	2540	3480
378714246	330	800	2370	4410
3063551557	780	1620	4060	4800
910483187	790	1480	4600	5030
885594137	270	540	1820	4240
1509960178	2750	3400	4020	4200
3906741815	560	1180	3500	4560
3043448104	930	1330	3620	4510
1475049549	470	670	860	3400
838171774	500	620	810	2610
516379537	2290	4360	4580	4820
2859856002	800	1650	4130	4650
34516584	560	1240	1810	3430
3019778947	2040	2270	2680	3240
1164372853	230	520	960	4160
2652183336	1230	2410	3370	4390
1314197481	940	1950	3680	4460
74707270	870	2570	4610	5000
3114595488	340	880	1790	3270
1790055622	730	1280	3650	4580
1585277404	820	1450	3210	4610
971799254	1300	3050	3920	4780
1732057911	190	370	740	3620
4069151140	1310	3080	5000	5120
24407688	1350	2530	3440	4420
2539137476	2370	4390	4630	4860
1311461847	2290	4380	4630	4870
3732529273	270	520	1120	3330
3264535290	3090	4690	4870	5080
2161527993	2770	4560	5000	5210
4224744971	1850	3460	4570	4940
1683634853	1170	2920	4790	5080
1793774139	840	2020	4510	4940
81644709	680	1170	3820	4530
3272989748	200	420	1910	4240
2835269567	230	460	1060	3330
3144723276	1550	4310	4890	5130
3004231609	730	1460	4290	4890
820390265	170	360	950	2360
3295884842	720	1630	3680	4540
4016432509	400	820	3180	5000
392647060	840	1680	4490	4890
3679872414	2610	3970	4550	4990
1655408144	1080	2170	3190	4460
3205149818	1210	2430	3650	4860
2247573463	860	3130	4290	4850
2935316115	2450	3720	4840	5220
1189417984	2040	4150	5040	5230
86091462	2250	4530	5020	5160
2115674416	2250	4590	5160	5280
1692597873	2090	3230	4700	5090
613252511	770	1340	3810	4420
2184378778	970	2900	4500	4930
2368068499	530	1090	3620	4510
3649620702	1210	3140	4630	4990
787465696	630	1170	3740	4580
3693952834	2150	2660	3390	3880
3560965997	400	900	2510	3890
665994127	760	2190	4190	4750
1244166825	1800	3790	4700	4960
3346772591	720	2110	2830	3260
1898165714	590	1070	3670	4660
1177226373	2580	3870	5160	5320
2362768792	330	600	2960	4310
2887558840	180	370	800	3370
902345724	660	1350	3450	4680
3915847495	630	1260	4090	4710
3759497671	700	2280	3790	4720
3051516683	530	800	1060	3510
1111707134	1860	4260	4990	5140
573189121	800	2200	4350	4820
4128054653	330	480	1900	3380
2981485519	700	1410	4170	4900
701219466	660	2570	3220	4270
2429970674	210	430	1740	4070
2809544021	420	840	2030	3590
1885482813	930	1880	4220	4820
2488105393	490	1520	4520	4990
4032299349	3020	3890	4450	4920
3721096441	900	1800	4350	4930
140372255	740	1610	4200	4840
562501564	260	660	2430	3940
363714117	2300	4330	4870	5130
347071583	260	530	1150	3740
3676594590	530	1150	4010	4710
199453780	4940	5050	5200	5300
422665295	780	1850	4070	4560
1158105574	410	700	2790	4760
3436878763	3670	5060	5210	5320
302930519	2620	3050	3910	4090
1387317170	700	1060	1410	3360
516360813	290	430	530	1950
2011671500	2020	4250	4540	4970
2014437653	690	2820	4910	5160
2363830190	1020	1310	2150	2640
4181738284	600	1240	3800	4660
3455159901	2030	4470	4950	5160
1324802888	390	590	790	2350
548229155	2950	4680	4840	5030
2592378594	470	940	2150	4160
1561363080	1500	3760	4150	4540
2210210416	1280	4410	4990	5220
1447256081	650	1300	2830	3620
1431487086	350	710	1420	3370
1985242804	990	1760	4220	4670
954982723	2130	3740	4330	4860
1803666046	2250	4750	5040	5200
993167448	540	2220	4700	5050
1744982467	230	470	980	3540
2156829834	890	1780	4140	4730
1137279591	2190	4410	4650	4880
826488986	1820	3290	4770	5070
3147587998	2020	4240	4790	5100
122990238	970	1950	4370	4870
4294639599	1120	1870	4450	4900
2956984387	2010	4650	4840	5030
2325193948	870	1930	2980	4260
3411375340	180	320	680	2090
746969810	210	430	950	3290
1351352566	2390	4550	4720	4880
3718328041	270	550	1160	3280
1024578438	750	2280	4110	4760
3408279007	410	840	4010	4810
1641388414	1340	2990	4410	4910
1344859339	1150	1730	4010	4850
2072041894	810	1810	3110	4560
2745896456	370	700	2300	4180
3636130225	560	960	4450	4910
1536482838	2260	4560	4950	5190
3346234410	450	1450	1940	3560
131268041	500	1030	3170	4790
2511146244	1510	1900	2540	3810
2296643299	750	1560	2150	3490
1422967748	1070	1680	4250	4630
611620583	4950	5060	5170	5280
685561011	850	2030	3940	4670
97839400	620	1230	3970	4640
4094309757	1490	3380	4720	5060
1146439818	4810	4980	5160	5310
1825458256	560	1120	1680	3310
2768996687	900	1730	4040	4700
1494106799	80	170	360	480
1002376827	1200	3430	4670	5040
367217526	2080	4460	4960	5210
706807221	670	1240	1880	3300
2298773338	740	1540	4290	4830
2973099041	580	1110	3990	4580
3183032101	1420	3820	4490	5080
1522375734	360	680	2360	4460
3421803985	870	1680	4160	4830
3664258181	120	240	380	510
3652859622	930	1810	2530	4020
3765453871	1390	2950	4860	5180
2631222486	740	2670	4580	4830
3934136303	2780	4660	4820	5040
2330471711	580	1170	3530	4600
890780352	940	1740	4210	4840
278073700	280	430	570	2560
358972261	1920	2390	3600	4430
3804168091	760	1410	4290	5010
819433785	880	2250	4430	4910
3483947734	1300	3200	4350	4870
2922587988	780	1560	3850	4260
1117748188	290	440	580	1950
3437356830	2130	4520	4960	5170
2297638809	1590	2220	3150	3680
2908538726	130	270	800	4840
2720399565	1360	1760	4020	4630
737574161	1090	4850	4960	5130
4136301268	470	930	2920	4150
1603482612	650	1220	4390	4690
428468440	1950	3950	4310	4660
2176924202	610	1210	3730	4680
2784711853	3100	4620	5140	5260
2447370035	320	480	650	3700
1460860752	1870	3950	4310	4670
902198702	720	1450	4700	4970
3966721087	900	1800	4070	4660
3693265246	740	1490	4330	4890
1483312560	1100	2060	2930	3280
1753524213	2040	4340	4930	5220
146603825	220	320	1510	3220
3686412896	2510	4760	5080	5240
3280380109	620	1230	3640	4820
2482542198	370	740	2180	4250
759641282	2830	4560	5160	5270
2322393532	1390	1490	1620	2670
4111792374	760	2140	3790	4760
503563315	410	820	2030	3410
