RandomSeed	CP1	CP2	CP3	CP4
1227103299	1170	1690	4220	4720
3653759354	580	1170	2890	4740
517871934	460	1540	3290	4220
1452471463	830	1450	3430	4480
3664786015	1350	3330	4630	4990
2737564893	3390	4680	4840	5030
2246241605	1850	3940	4920	5130
1723477945	280	630	2140	3190
2987935626	200	460	980	3880
2192730695	460	920	2910	4250
1765252531	1810	3530	4760	5110
3742844128	840	1390	4530	4930
170213397	750	1010	1220	3570
2926795307	1280	4170	4740	5090
3683654040	390	1340	2000	4130
2321905849	300	430	510	3640
1689172949	1660	2130	3570	4580
2317397057	240	460	1090	4330
4096267878	90	190	320	420
3962143194	420	860	2470	3930
1138817246	2070	4750	4890	5060
2504106561	370	830	1030	2730
185172935	530	850	2530	3850
2112921525	410	900	2550	4440
3117489099	450	1020	1610	2380
2268415304	550	1230	2560	4340
2229616622	260	490	1000	3150
835117613	1530	3350	4800	5100
2707876291	540	1070	2870	4280
2799240110	5020	5130	5210	5310
982298188	350	570	2450	4170
1434776838	740	2150	3620	4290
3049447256	1850	3000	4350	4650
282213317	130	270	670	1690
3033058056	3060	4170	5000	5220
2828231414	600	1120	1830	3380
1091113560	680	1380	4170	4520
1566054754	470	700	2390	5030
441450177	1950	3490	4800	5080
3051889160	1680	4290	4830	5110
1939545912	500	1050	3960	4910
711050563	1750	2060	2860	3960
1197610179	470	1000	3510	4560
2292247144	180	370	750	2230
143107513	1150	1790	3390	4530
1286132353	1000	2170	3320	4810
3092308182	610	800	950	2950
707894278	530	790	1020	3060
3893471302	1220	2420	3020	4090
2234062153	680	2210	3170	4210
3306893991	1080	1650	3490	4560
1622863600	640	870	1120	3510
2311900821	400	900	2440	3880
4208972428	1630	3850	4620	5010
1553798474	500	1060	3540	4720
2170011112	580	1160	2890	4680
3691205836	510	940	2390	4560
863480652	620	2260	4340	4780
1182952088	1410	4570	4980	5190
1153646973	1790	2240	3080	4650
481554187	310	620	2310	3930
952219094	610	1200	3060	4510
880739968	1540	3860	4230	4590
1542583891	320	1050	2450	4180
1205954961	3560	4210	4470	5020
3885534788	460	810	3820	4560
3202411410	530	1060	3670	4680
3172857319	2820	4700	5050	5230
853684729	2120	3460	4480	5000
3997502582	390	770	2010	4390
1882825775	1500	1930	2910	3340
2432261869	670	1230	3400	4670
2622833482	910	1880	4370	4770
4049839035	210	370	2390	4380
1488740665	900	2800	3240	4140
1246644024	780	1630	3180	3870
497441617	1810	4110	4750	5070
420204131	2210	4320	4860	5180
1337447744	1510	2110	3100	4740
3574842670	620	1140	3280	4390
2454922389	2410	4300	4860	5140
1492206712	220	430	880	3230
1205264910	820	1550	4210	4820
1198690960	510	1160	2310	4720
2764083082	4860	4960	5110	5230
3658457678	580	950	3900	4570
848727745	1340	1750	2370	2870
4053738649	1270	3810	4780	5090
1498861531	710	1420	4350	4740
1299324319	750	1090	4230	4810
597531840	1770	3170	4730	5060
4124519012	800	1310	3450	4400
3884934170	220	440	880	2460
3937799660	920	1720	4210	4740
546957697	1230	4620	4800	5010
664878979	970	1230	1490	3770
874139106	790	1340	3740	4380
1527276457	680	1470	3590	4210
704549701	1840	2600	3250	4690
2128617802	340	770	3160	4820
1697736081	520	740	930	3360
805980819	190	380	1970	3650
137569783	1420	4580	5000	5200
2906684761	1520	3920	4820	5170
3005449562	1630	3980	4340	4640
1985888470	520	1870	3950	4890
2003587796	2370	4580	4790	4990
3518921323	610	1060	3180	4560
372369988	200	360	800	2490
1988579239	530	1120	2450	3800
2582180546	900	1780	2180	3500
831454103	470	880	2750	3970
2097186333	290	420	560	3060
4234581840	2130	4400	4640	4810
4139949842	3100	4120	4660	4980
